"Dear teamleaders, hereby the Tour 2025 pool, played according to the rules that have stood the test of time",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The rules are similar to previous years:,,,,,,,,,,,,,,,,,,,,,
2) for the team time trial all bikers of that team receive the points according to the position of that team in the time trial,,,,,,,,,,,,,,,,,,,,,
"3) the reserves can be used up until the end of etappe #6 . However, if the biker does finish etappe #6, gets ill in the following night and decides not to start etappe #7, he cannot be replaced anymore. Only bikers that did not finish etappe #6 can be replaced.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The scoring:,,,,,,,,,,,,,,,,,,,,,
Etappe placing:,,1,20 points,,,Final Placing,,1,100 points,,,,,,,,,,,,
,,,,,2,15 points,,,,,,,2,80 points,,,,,,,
,,,,,3,12 points,,,,,,,3,60 points,,,,,,,
,,,,,4,10 points,,,,,,,4,40 points,,,,,,,
,,,,,5,8 points,,,,,,,5,30 points,,,,,,,
,,,,,6,6 points,,,,,,,6,25 points,,,,,,,
,,,,,7,5 points,,,,,,,7,20 points,,,,,,,
,,,,,8,4 points,,,,,,,8,18 points,,,,,,,
,,,,,9,3 points,,,,,,,9,16 points,,,,,,,
,,,,,10,2 points,,,,,,,10,15 points,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Have fun and remember at the start the chances were equal for everybody!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Quinten’s Let’s Win again,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Pogacar, ,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Roglic,,,,,,,,,,,,,,,,,,,,,
Evenepoel,,,,,,,,,,,,,,,,,,,,,
Ca. Rodriguez,,,,,,,,,,,,,,,,,,,,,
Almeida,,,,,,,,,,,,,,,,,,,,,
Lipowitz,,,,,,,,,,,,,,,,,,,,,
Jorgenson,,,,,,,,,,,,,,,,,,,,,
van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Merlier,,,,,,,,,,,,,,,,,,,,,
Milan,,,,,,,,,,,,,,,,,,,,,
